Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Surguja,ST,Chhattisgarh,BJP,48.80%,M,INC,18.79,NAND KUMAR SAI,1,Post Graduate,3124000,610000,65,43.14
Tamluk,GEN,West Bengal,Communist Party Of India (MARXIST),86.90%,M,Communist Party Of India (MARXIST),2.66,Seth Lakshman Chandra,0,Post Graduate,887175,0,,3.56
Tarn Taran,GEN,Punjab,Shiromani Akali Dal,61.10%,M,Shiromani Akali Dal,4.08,RATTAN SINGH,1,Graduate Professional,29516341,0,60,5.76
Tehri Garhwal,GEN,Uttarakhand,BJP,43.40%,M,BJP,17.77,MANABENDRA SHAH,0,12th Pass,347563683,0,84,4.87
Tehri Gharwal,GEN,Uttarakhand,INC,60.90%,M,BJP,17.77,Vijay Bahuguna,,Others,,,,4.87
Tenali,GEN,Andhra Pradesh,INC,76.30%,M,Telugu Desam,6.29,BALASHOWRY VALLABHANENI,0,Graduate,103238914,350000,36,15.14
Tenkasi,SC,Tamil Nadu,Communist Party Of India,65.40%,M,All India Anna Dravida Munnetra Kazhagam,8.84,"APPADURAI, M.",0,Graduate,1263017,0,52,-2.42
Tezpur,GEN,Assam,INC,71.60%,M,INC,9.51,MONI KUMAR SUBBA,0,8th Pass,186443565,0,54,1.51
Thane,GEN,Maharashtra,Shiv Sena,40.50%,M,Shiv Sena,10.7,PARANJAPE PRAKASH VISHVANATH,0,Graduate,5905573,1382266,56,10.43
Thane,GEN,Maharashtra,SS,24.50%,M,Shiv Sena,10.7,Anand Prakash Paranjpe,,Others,,,,10.43
Thanjavur,GEN,Tamil Nadu,Dravida Munetra Kazhagam,68.60%,M,Dravida Munetra Kazhagam,8.84,PALANIMANICKAM. S. S.,0,Graduate Professional,3516998,535689,53,-2.42
Thiruvananthapuram,GEN,Kerala,CPI,68.10%,M,Dravida Munetra Kazhagam,5.57,,,Others,,,,-1.39
Tindivanam,GEN,Tamil Nadu,Pattali Makkal Katchi,62.80%,M,Marumalarchi Dravida Munnetra Kazhagam,8.84,DHANARAJU. K,0,Doctorate,2658860,0,47,-2.42
Tiruchendur,GEN,Tamil Nadu,Dravida Munetra Kazhagam,61.00%,F,Dravida Munetra Kazhagam,8.84,,,Others,,,,-2.42
Tiruchengode,GEN,Tamil Nadu,Dravida Munetra Kazhagam,59.70%,F,Marumalarchi Dravida Munnetra Kazhagam,8.84,SUBBULAKSHMI JAGADEESAN,0,Graduate Professional,8734674,0,58,-2.42
Tiruchirappalli,GEN,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,59.40%,M,BJP,8.84,GANESAN. L,2,Graduate Professional,1900000,0,68,-2.42
Tirunelveli,GEN,Tamil Nadu,INC,58.10%,M,All India Anna Dravida Munnetra Kazhagam,8.84,"DHANUSKODI ATHITHAN, R.",1,Post Graduate,16322132,5573213,53,-2.42
Tirupathi,SC,Andhra Pradesh,INC,69.80%,M,BJP,6.29,CHINTA MOHAN,0,Graduate Professional,3982900,1325256,49,15.14
Tiruppattur,GEN,Tamil Nadu,Dravida Munetra Kazhagam,63.80%,M,Dravida Munetra Kazhagam,8.84,"VENUGOPAL, D.",0,8th Pass,7685000,994803,68,-2.42
Tonk,SC,Rajasthan,BJP,46.40%,M,BJP,2.12,KAILASH MEGHWAL,0,Post Graduate,10950282,0,70,81.37
Trichur,GEN,Kerala,Communist Party Of India,69.30%,M,INC,5.57,C. K. CHANDRAPPAN,0,Graduate,8812606,0,65,-1.39
Tripura East,ST,Tripura,Communist Party Of India (MARXIST),66.20%,M,Communist Party Of India (MARXIST),-18.67,BAJU BAN RIYAN,0,Graduate,1188586,0,59,5.21
Tripura West,GEN,Tripura,Communist Party Of India (MARXIST),67.20%,M,Communist Party Of India (MARXIST),-18.67,KHAGEN DAS,0,Post Graduate,1423083,0,64,5.21
Trivandrum,GEN,Kerala,Communist Party Of India,68.40%,M,INC,5.57,,,Others,,,,-1.39
Tumkur,GEN,Karnataka,BJP,70.60%,M,INC,3.22,S. MALLIKARJUNAIAH,0,Post Graduate,9090000,40000,74,-12.81
Tura,GEN,Meghalaya,All India Trinamool Congress,61.80%,M,Nationalist Congress Party,18.02,PURANO AGITOK SANGMA,0,Post Graduate,35032125,0,56,1.81
Tura,GEN,Meghalaya,NCP,68.30%,M,Nationalist Congress Party,18.02,Purno Agitok Sangma,,Others,,,,1.81
Udaipur,GEN,Rajasthan,BJP,55.60%,F,INC,2.12,,,Others,,,,81.37
Udhampur,GEN,Jammu & Kashmir,INC,45.10%,M,BJP,4.29,CH. LAL SINGH,0,Graduate,5400000,5.00E+05,44,8.88
Udupi,GEN,Karnataka,BJP,68.40%,F,INC,3.22,MANORAMA MADHWARAJ,0,Graduate,13751985,2700000,,-12.81
Ujjain,SC,Madhya Pradesh ,BJP,57.90%,M,BJP,-2.8,DR. SATYANARAYAN JATIYA,0,Doctorate,2794387,0,58,36.75
Uluberia,GEN,West Bengal,Communist Party Of India (MARXIST),75.20%,M,Communist Party Of India (MARXIST),2.66,Hannan Mollah,0,Post Graduate,621879,0,58,3.56
Unnao,GEN,Uttar Pradesh ,Bahujan Samaj Party,42.00%,M,Samajwadi Party,5,BRAJESH PATHAK,4,Graduate Professional,2776872,5222,28,3.85
Vaishali,GEN,Bihar ,Rashtriya Janata Dal,62.50%,M,Rashtriya Janata Dal,-6.57,RAGHUBANSH PRASAD SINGH,0,Doctorate,4871420,481535,57,-16.27
Vandavasi,GEN,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,62.20%,M,Pattali Makkal Katchi,8.84,,,Others,,,,-2.42
Varanasi,GEN,Uttar Pradesh ,INC,42.60%,M,BJP,5,DR. RAJESH KUMAR MISHRA,0,Others,1241800,4.00E+05,44,3.85
Vellore,GEN,Tamil Nadu,Dravida Munetra Kazhagam,61.10%,M,Pattali Makkal Katchi,8.84,"KADER MOHIDEEN, K. M",0,Post Graduate,2800000,450000,63,-2.42
Vidisha,GEN,Madhya Pradesh ,BJP,50.00%,M,BJP,-2.8,SHIVRAJ SINGH,2,Post Graduate,5814600,287640,45,36.75
Vijayawada,GEN,Andhra Pradesh,INC,64.40%,M,Telugu Desam,6.29,,,Others,,,,15.14
Visakhapatnam,GEN,Andhra Pradesh,INC,63.70%,M,Telugu Desam,6.29,JANARDHANA REDDY NEDURUMALLI,0,Graduate Professional,10916531,11212,69,15.14
Vishnupur,SC,West Bengal,Communist Party Of India (MARXIST),76.30%,F,Communist Party Of India (MARXIST),2.66,Susmita Bauri,0,Graduate Professional,33000,10000,,3.56
Warangal,GEN,Andhra Pradesh,Telangana Rashtra Samithi,75.80%,M,Telugu Desam,6.29,,,Others,,,,15.14
Warangal,GEN,Andhra Pradesh,TD,67.60%,M,Telugu Desam,6.29,,,Others,,,,15.14
Wardha,GEN,Maharashtra,BJP,54.70%,M,INC,10.7,WAGMARE SURESH GANAPAT,0,Graduate,441000,447393,42,10.43
Washim,GEN,Maharashtra,Shiv Sena,62.50%,F,Shiv Sena,10.7,GAWALI (PATIL) KU. BHAVANA PUNDLIKRAO,1,Graduate,18808750,748904,29,10.43
Yavatmal,GEN,Maharashtra,BJP,58.50%,M,INC,10.7,RATHOD HARISING NASARU,0,Graduate,3801000,945123,50,10.43
