"","Constituency","Type","State","Party","Turnout","Gender","PrevParty","GSDP","Candidate","Criminal.Case","Education","Total.Assets","Liabilities","CandidateAge","GrowthRateAgri","Year","PredictedValue"
"504","Thoothukkudi","GEN","Tamil Nadu","Others",70,"M","Others",3.11,"Jeyasingh Thiyagaraj Natterjee.J",0,"Post Graduate",9822294,0,60,7.33,"2014","Others"
"505","Thrissur","GEN","Kerala","Others",72.2,"M","INC",18.41,"C. N. Jayadevan",3,"Post Graduate",20041642,294000,63,4.39,"2014","INC"
"506","Tikamgarh","SC","Madhya Pradesh","BJP",50.1,"M","BJP",2.15,"Dr. Virendra Kumar",0,"Doctorate",8764635,0,60,23.28,"2014","BJP"
"507","Tiruchirappalli","GEN","Tamil Nadu","Others",71.2,"M","Others",3.11,"Kumar.P",0,"Graduate Professional",18522597,1917891,42,7.33,"2014","INC"
"508","Tirunelveli","GEN","Tamil Nadu","Others",67.8,"M","INC",3.11,"Prabakaran.K.R.P",0,"Graduate Professional",2764500,0,33,7.33,"2014","INC"
"509","Tirupati","SC","Andhra Pradesh","Others",77,"M","INC",2.44,"Varaprasad Rao Velagapalli",0,"Doctorate",129128388,3132962,61,6.15,"2014","INC"
"510","Tiruppur","GEN","Tamil Nadu","Others",76.3,"F","Others",3.11,"V.Sathyabama",2,"Post Graduate",28108573,2475755,42,7.33,"2014","INC"
"511","Tiruvannamalai","GEN","Tamil Nadu","Others",78.9,"F","Others",3.11,"Vanaroja R",0,"Post Graduate",3700000,0,55,7.33,"2014","Others"
"512","Tonk-Sawai Madhopur","GEN","Rajasthan","BJP",61,"M","INC",3.55,"Sukhbir Singh Jaunapuria",0,"12th Pass",714124612,0,56,0.22,"2014","INC"
"513","Tripura East","ST","Tripura","Others",83.4,"M","Others",2.75,"Jitendra Choudhury",0,"12th Pass",11322979,2030773,57,5.14,"2014","Others"
"514","Tripura West","GEN","Tripura","Others",85.9,"M","Others",2.75,"Sankar Prasad Datta",1,"Post Graduate",1320900,0,56,5.14,"2014","Others"
"515","Tumkur","GEN","Karnataka","INC",72.5,"M","BJP",2.12,"Muddahanumegowda.S.P.",0,"Graduate Professional",30273812,0,59,1.25,"2014","INC"
"516","Tura","ST","Meghalaya","Others",78.1,"M","Others",11.93,"Purno Agitok Sangma",0,"Post Graduate",215134618,0,66,5.07,"2014","Others"
"517","Udaipur","ST","Rajasthan","BJP",65.6,"M","INC",3.55,"Arjunlal Meena",0,"Post Graduate",17049951,8195866,49,0.22,"2014","INC"
"518","Udhampur","GEN","Jammu & Kashmir","BJP",69.9,"M","INC",1.18,"Dr. Jitendra Singh",0,"Graduate Professional",38464932,11881,57,4.97,"2014","INC"
"519","Udupi Chikmagalur","GEN","Karnataka","BJP",74.5,"F","BJP",2.12,"Shobha Karandlaje",0,"Post Graduate",72089452,38119792,47,1.25,"2014","INC"
"520","Ujiarpur","GEN","Bihar","BJP",60.1,"M","Others",11.53,"Nityanand Rai",1,"Graduate",146743540,3965423,48,-10.06,"2014","BJP"
"521","Ujjain","SC","Madhya Pradesh","BJP",66.6,"M","INC",2.15,"Prof. Chintamani Malviya",0,"Doctorate",18888754,5483153,44,23.28,"2014","INC"
"522","Uluberia","GEN","West Bengal","Others",81.9,"M","Others",8.74,"Sultan Ahmed",0,"Graduate",22792936,10878739,58,5.38,"2014","Others"
"523","Unnao","GEN","Uttar Pradesh","BJP",55.5,"M","INC",0.36,"Swami Sachchidanand Hari Sakshi",8,"Doctorate",32137597,0,58,2.59,"2014","Others"
"524","Uttara Kannada","GEN","Karnataka","BJP",69,"M","BJP",2.12,"Anantkumar Hegde",0,"12th Pass",32367360,15139611,46,1.25,"2014","Others"
"525","Vadakara","GEN","Kerala","INC",81.1,"M","INC",18.41,"Mullappally Ramachandran",0,"Post Graduate",9225000,2160000,67,4.39,"2014","INC"
"526","Vadodara","GEN","Gujarat","BJP",70.9,"M","BJP",7.12,"Narendra Modi",0,"Post Graduate",15157582,0,63,-6.96,"2014","BJP"
"527","Vaishali","GEN","Bihar","Others",58.3,"M","Others",11.53,"Rama Kishore Singh",4,"Graduate",21610218,3323006,51,-10.06,"2014","BJP"
"528","Valmiki Nagar","GEN","Bihar","BJP",61.8,"M","Others",11.53,"Satish Chandra Dubey",3,"10th Pass",6061576,626789,39,-10.06,"2014","BJP"
"529","Valsad","ST","Gujarat","BJP",74.2,"M","INC",7.12,"Dr. K.C.Patel",0,"Graduate Professional",131141867,2381344,65,-6.96,"2014","INC"
"530","Varanasi","GEN","Uttar Pradesh","BJP",58.3,"M","BJP",0.36,"Narendra Modi",0,"Post Graduate",16591582,0,63,2.59,"2014","INC"
"531","Vellore","GEN","Tamil Nadu","Others",74.3,"M","Others",3.11,"Senguttuvan, B.",0,"Post Graduate",9197355,440478,57,7.33,"2014","Others"
"532","Vidisha","GEN","Madhya Pradesh","BJP",65.7,"F","BJP",2.15,"Sushma Swaraj",0,"Graduate Professional",175516422,6500000,62,23.28,"2014","BJP"
"533","Vijayawada","GEN","Andhra Pradesh","Others",76.4,"M","INC",2.44,"Kesineni Srinivas",3,"10th Pass",1284122669,715462989,48,6.15,"2014","Others"
"534","Viluppuram","SC","Tamil Nadu","Others",77,"M","Others",3.11,"Rajendran S",0,"Graduate",6200000,2371331,57,7.33,"2014","Others"
"535","Virudhunagar","GEN","Tamil Nadu","Others",74.9,"M","INC",3.11,"Radhakrishnan T",0,"10th Pass",43736485,5273447,59,7.33,"2014","INC"
"536","Visakhapatnam","GEN","Andhra Pradesh","BJP",67.5,"M","INC",2.44,"Kambhampati Hari Babu",0,"Doctorate",90103580,1854856,60,6.15,"2014","INC"
"537","Vizianagaram","GEN","Andhra Pradesh","Others",79.8,"M","INC",2.44,"Ashok Gajapathi Raju Pusapati",0,"10th Pass",39054905,0,62,6.15,"2014","INC"
"538","Warangal","SC","Telangana","Others",76.4,"M","INC",2.44,"Kadiyam Srihari",6,"Post Graduate",13495000,0,63,6.15,"2014","Others"
"539","Wardha","GEN","Maharashtra","BJP",64.8,"M","INC",8.78,"Ramdas Chandrabhanji Tadas",5,"10th Pass",33628998,1749314,62,3.99,"2014","INC"
"540","Wayanad","GEN","Kerala","INC",73.2,"M","INC",18.41,"M I Shanavas",0,"Post Graduate",27122055,7711000,62,4.39,"2014","INC"
"541","West Delhi","GEN","Delhi","BJP",66.1,"M","INC",1.36,"Parvesh Sahib Singh Verma",1,"Post Graduate",107235461,26650000,36,3.21,"2014","INC"
"542","Yavatmal-Washim","GEN","Maharashtra","Others",59.3,"F","Others",8.78,"Gawali Bhavana Pundlikrao",4,"Graduate",60886040,7368967,41,3.99,"2014","Others"
"543","Zahirabad","GEN","Telangana","Others",75.8,"M","INC",2.44,"B.B. Patil",0,"Graduate",1023173039,83517670,58,6.15,"2014","INC"
